,Unnamed: 0,Stock,Beta
0,0,MMM,0.945083
1,1,AXP,1.142613
2,2,AMGN,0.581524
3,3,AAPL,1.19455
4,4,BA,1.367816
5,5,CAT,0.993188
6,6,CVX,1.132822
7,7,CSCO,0.962111
8,8,KO,0.557684
9,9,DIS,1.237122
10,10,DOW,1.406411
11,11,GS,1.38527
12,12,HD,0.985951
13,13,HON,1.082588
14,14,IBM,0.931885
15,15,INTC,0.670923
16,16,JNJ,0.630055
17,17,JPM,1.144316
18,18,MCD,0.554704
19,19,MRK,0.35547
20,20,MSFT,0.932311
21,21,NKE,1.005534
22,22,PG,0.386121
23,23,CRM,1.075776
24,24,TRV,0.704129
25,25,UNH,0.774372
26,26,VZ,0.383567
27,27,V,0.896977
28,28,WBA,0.590464
29,29,WMT,0.522349
